Description,link,sno
"AadhiniFabric: South Cotton 
Sleeve: 18 inches 
Style: Printed flared Anarkali with rope in waist
Length: 47 Inches  
Colour: Beige & Mehendi Green",https://instore.co.in//collections/offers/products/aadhini,65
"Sona Pista GreenFabric:Hacoba
Sleeve: 17 Inches 
Style:Princess Cut Kurti with Side Slit. 
Length: 46 Inches
Colour:Lite Green",https://instore.co.in//collections/offers/products/sona-pistah-green,66
"AmirthiFabric: Cotton 
Sleeve: 17 inches 
Style: Anarkali 
Length: 48 Inches 
Color: Black",https://instore.co.in//collections/offers/products/amirthi,67
"CINZIAFabric: Semi silk 
Sleeve:17 inches
 Style:Full Flared Anarkali With Back Rope
 Length:48 Inches 
Colour: Dark Aqua",https://instore.co.in//collections/offers/products/cinzia,68
"DihanaFabric: South Cotton 
Sleeve: 18 inches 
Style: Printed flared Anarkali with rope in waist
Length: 47 Inches  
Colour: Beige & Maroon",https://instore.co.in//collections/offers/products/dihana,69
"Ombre Love R blueFabric: Ombre Dyed Georgette 
Lining Fabric : Butter Crepe
Sleeve: 3/4th Sleeve
Style: Steal the spot light in this Georgette Ombre dyed A-line kurti/dress that comes with an Unique Aari hand work in front yoke.
Length: Kurti - 50 Inches; 
Sleeve:14.5 Inches
Color: Royal Blue Ombre",https://instore.co.in//collections/offers/products/ombrelove-r-blue,70
"JaisikaFabric: Synthetic 
Sleeve: 16 Inches  
Style: Printed Full Flared anarkali and Embroidered work in front yoke 
Length: Kurti - 48 nches
Color: Maroon",https://instore.co.in//collections/offers/products/jaisika,71
"EloiseFabric: silk cotton
 Sleeve: 5 inches 
Style: full flared anarkali. Straight front yoke joint.
 Length: 53Inches
 Colour: Pink & Violet",https://instore.co.in//collections/offers/products/eloise,72
"Nishitha Royal BlueFabric: Silk Cotton Pintucks
 Sleeve:16 Inches
 Style: Straight cut kurti with side slit
Length:45 Inches
 Colour: Royal Blue",https://instore.co.in//collections/offers/products/nishitha-royal-blue,73
"HansaFabric: Authentic Handblock Printed Cotton
 Sleeve: 5 inches 
Style: Basic Staright cut kurti with side slit
 Length: 47.5 Inches
 Colour: Earthy tones",https://instore.co.in//collections/offers/products/hansa,74
"Koperundevi Navy BlueFabric: Chanderi Cotton with Butter Crepe Lining
 Sleeve: 18 inches 
Style: Anarkali
Length: 47 Inches
Color: Navy Blue",https://instore.co.in//collections/offers/products/koperundevinavyblue,75
"RohithaFabric:Cotton
Sleeve:7  Inches  
Style:Straight Cut Kurti with Side Slite
Length:44 Inches
Colour:Blue",https://instore.co.in//collections/offers/products/rohitha,76
"Arasi GreenFabric:Double mercerised Handloom Cotton with Ethnic Gold Zari borders. Black color butter crepe lining inside. no lining in sleeve. 
Sleeve: 18 Inches
Style: Side Slit Kurti with Embroidered work 
Length: 40 Inches
Colour: Bottle Green",https://instore.co.in//collections/offers/products/amisha-bottel-green,77
"SuprajaFabric:Cotton
Sleeve: 6 Inches 
Style:Straight Cut Kurti with Side Slit
Length: 42 Inches
Colour:Orange & Black",https://instore.co.in//collections/offers/products/supraja,78
"Ombre Love TealFabric: Ombre Dyed Georgette 
Lining Fabric : Butter Crepe
Sleeve: 3/4th Sleeve  
Style: Steal the spot light in this Georgette Ombre dyed A-line kurti/dress that comes with an Unique Aari hand work in front yoke.
Length: Kurti - 50 Inches; Sleeve-14.5 Inches
Color: Teal Ombre",https://instore.co.in//collections/offers/products/ombrelove-teal-blue,79
"Diva EFabric:Cotton 
Sleeve:17 Inches 
Style:Printed straight Cut Kurti with Side Slit
Length: 44 Inches
Colour:Mulitcolor",https://instore.co.in//collections/offers/products/diva-e,80
"MagizhambooFabric: Banarasi & Cotton Sateen
Sleeve: 6 inches 
Style: Basic Short fit Kurti with Side Slit
Length: 40Inches  
Colour: Brown",https://instore.co.in//collections/offers/products/magizhamboo,81
"DwaniFabric: Cotton  
Sleeve: 6 inches
 Style: Basic Short fit Kurti with Side Slit
Length: 42 Inches 
Colour: Yellow & Peach",https://instore.co.in//collections/offers/products/dwani,82
"Nethra Dark Navy BlueFabric: Poly Silk, Brocade 
Style: Aline Kurti without Side Slit, Arri work in Front Yoke/span>
Kurti Length: 52 Inches
Sleeve Length:21.5 Inches
Color: Dark Navy",https://instore.co.in//collections/offers/products/nethra,83
"kaarkuzhal kadavaiyeFabric: Hand block printed cotton
 Sleeve: 17inches
 Style: Straight cut kurti with side slit
 Length: 48 Inches 
Colour: Black & Rusty maroon",https://instore.co.in//collections/offers/products/kaarkuzhal-kadavaiye,84
"AulyaFabric: Premium Cotton 
 Sleeve: 9 Inches 
Style: Printed Straight Cut Kurti with side slit
Length: 46 Inches  
Colour: Cream & Gold",https://instore.co.in//collections/offers/products/aulya,85
"IlaimadhiFabric: Double mercerised Classic handloom kurti with synthetic lining
 Sleeve: 19 inches 
Style:  Basic side slit kurti  
Length: 39.5 Inches  
Colour: Grey",https://instore.co.in//collections/offers/products/ilaimadhi,86
"Manohari BlueFabric: Chanderi 
 Sleeve: 17 inches 
Style: Pleated belle dress 
Length: 48.5 Inches  
Colour: Royal Blue & Pink",https://instore.co.in//collections/offers/products/manohariblue,87
"Ponninadhi Bright RustFabric: Double mercericed Classic handloom kurti with synthetic lining
 Sleeve: 19 inches 
Style:  Basic side slit kurti  
Length: 39.5 Inches  
Colour: Bright rust",https://instore.co.in//collections/offers/products/ponninadhi-orange,88
"GautamiFabric:Synthetic
Sleeve: 10 Inches  Sleeve 
Style:Printed indo western kurti with sequence work in front yoke 
Length: Kurti - 48 Inches
Colour:Pastel Teal",https://instore.co.in//collections/offers/products/gautami,89
"JeniferFabric: Cotton 
Sleeve: 17 Inches Sleeve 
Style: Aline 
Length: Kurti -46 Inches 
 Sleeve - 17 Inches 
Colour: Dark Peach",https://instore.co.in//collections/offers/products/jenifer,90
"josieFabric: Authentic Jaipuri Handblock printed Cotton  
Sleeve: 6.5 inches 
Style: Printed Full Flared (8 meters) Anarkali  
Length: 51 Inches  
Colour: Aqua",https://instore.co.in//collections/offers/products/josie,91
"Adhanya Navy BlueFabric: Double mercerised Handloom Cotton with Ethnic Gold Zari borders. Black color butter crepe lining inside. no lining in sleeve. 
Sleeve: 18 Inches
Style: Side Slit Kurti with Embroidered work 
Length: 40 Inches
 Colour: Dark Blue",https://instore.co.in//collections/offers/products/adhanya-navyblue,92
"Arasi BlackFabric: Double mercerised Handloom Cotton with Ethnic Gold Zari borders. Black color butter crepe lining inside. no lining in sleeve. 
Sleeve: 18 Inches
Style: Side Slit Kurti with Embroidered work 
Length: 40 Inches
Colour: Black",https://instore.co.in//collections/offers/products/amisha-black,93
"Nethra GreenFabric: Poly Silk, Brocade 
Style: Aline Kurti without Side Slit, Aari work in Front Yoke
Kurti Length: 52 Inches
Sleeve Length:21.5 Inches
Color: Green",https://instore.co.in//collections/offers/products/nethra-green,94
"UtthraFabric: Silk Cotton
 Sleeve: 18.3inches
 Style: Anarkali
 Length: 53Inches
 Colour: Blue",https://instore.co.in//collections/offers/products/utthra,95
"MakishaFabric: Authentic Jaipuri Handblock printed Cotton with South Cotton Borders
Sleeve: 18 inches 
Style: Full Flared (8 meters) Anarkali with Potli buttons in  Neck & Sleeve
Length: 57 Inches  
Colour: Yellow",https://instore.co.in//collections/offers/products/makisha,96
"Vishalini YellowFabric:Poly Silk
Sleeve: 23.5 Inches Sleeve 
Style:Aline kurti with Handwork 
Length: Kurti -53 Inches
Colour:Yellow",https://instore.co.in//collections/offers/products/vishalini,97
"Hasini PeachFabric: Poly Cotton.
Kurti Length: 45 Inches,
Style: Poly Cotton Straight Cut Kurti With Embroidered, And Sequence Work In Front.
Sleeve: 16 Inches.
Color: Peach.",https://instore.co.in//collections/offers/products/hasini-peach,98
"KavyaFabric: Hand block printed cotton & chanderi
 Sleeve: 5 inches 
Style:  Basic side slit kurti  
Length: 39.5 Inches 
Colour: Mustard & Royal Blue",https://instore.co.in//collections/offers/products/kavya,99
"MakarandamFabric: Cotton 
 Sleeve: 6 inches 
Style: Basic Short fit Kurti with Side Slit
Length: 39.2Inches  
Colour: Peach & Yellow",https://instore.co.in//collections/offers/products/makarandam,100
"Indigo FeverFabric: Indigo dyed modal 
 Sleeve: 34 Inches
 Style:  Aline kurti 
 Length: 48 Inches
 Colour: Indigo blue
Disclaimer-
1.  Your hand dyed indigo garments should be washed in cold water only, separately from other items with a mild detergent.
2. Do not rub the garment vigorously or soak the garment for a long time.You may notice a little blue coming out into the water – this is normal and will not happen after a couple of washes.
3. Hand drying in a shaded area is recommended to avoid excessive fading in direct sunlight. Pro tip: Store them away from sunlight to keep the color intact.
But keep in mind that the Indigo coloured garments tend to fade overtime but this only adds to the character of the garment. So don’t worry and enjoy your beautiful garments!",https://instore.co.in//collections/offers/products/alice,101
"LianaFabric: Rayon
 Sleeve: 16.5 inches 
Style: Aline kurti without side slit
 Length: 46.3Inches  
Colour: Maroon",https://instore.co.in//collections/offers/products/liana,102
"Ajika Light PinkFabric: Cotton
 Sleeve: 11 inches 
Style: Printed flared Anarkali  
Length: 58 inches
Colour: Light Pink",https://instore.co.in//collections/offers/products/ajika,103
"Himaja YellowFabric: Printed Cotton.
 Style: Printed Cotton Full Flared Anarkali. Kurti
 Length: 50 inches. 
 Sleeve Length: 17 inches.
 Color: Black And Yellow.",https://instore.co.in//collections/offers/products/himaja-yellow,104
"Krithanya3/4th Sleeve Synthetic Anarkali with Embroidery work in Front Yoke . 
Color: Aqua Green 
Length:49 Inches",https://instore.co.in//collections/offers/products/krithanya,105
"Diana Dark Beige(Kurti+Coat)Fabric:Synthetic
Sleeve:11 Inches Sleeves at coat
Style:Sleeveless kurti with coat 
Length: Kurti -48 Inches, Coat -28Inches 
Colour:Dark Beige & Multicolor",https://instore.co.in//collections/offers/products/diana-dark-beigekurti-coat,106
"SengathirFabric: Cotton 
Sleeve: 17.5 inches
 Style: Printed full flared Anarkali 
Length: 49.5 Inches
 Colour: blue & maroon",https://instore.co.in//collections/offers/products/senkathir,107
"DamyantiFabric: Silk Cotton 
 Sleeve:10.2inches
 Style: Full flared Anarkali 
Length: 54.5Inches
 Colour: Grey & Gold",https://instore.co.in//collections/offers/products/damyanti,108
"AnushamFabric: Chanderi 
 Sleeve: 4.8inches
 Style: Basic straight cut kurti with side slit
 Length: 46.8 Inches
 Colour: Peach & Light Mehendi Green",https://instore.co.in//collections/offers/products/anusham,109
"JaneethaFabric: Cotton 
 Sleeve: 5.5 inches 
Style: Short Fit Basic Side Slit Kurti
 Length: 38.5 Inches
 Colour: Purple",https://instore.co.in//collections/offers/products/janeetha,110
"Koperundevi TblueFabric: Chanderi Cotton with Butter Crepe Lining
 Sleeve: 18 inches 
Style: Anarkali
Length: 47 Inches 
Color: Tblue",https://instore.co.in//collections/offers/products/koperundevi-tblue,111
"Adhya BlackFabric: Silk Cotton
 Sleeve: 15 inches 
Style: Full flared anarkali with aari work in front yoke
 Length: 54.5 Inches
 Colour: Black",https://instore.co.in//collections/offers/products/adhya-black,112
"Indigo Fever DFabric: Hand dyed indigo Cotton 
 Sleeve:18.5 inches
 Style: Straight Cut kurti with side slit 
 Length: 42.5 Inches
 Color: Navy blue
Disclaimer-
1.  Your hand dyed indigo garments should be washed in cold water only, separately from other items with a mild detergent.
2. Do not rub the garment vigorously or soak the garment for a long time.You may notice a little blue coming out into the water – this is normal and will not happen after a couple of washes.
3. Hand drying in a shaded area is recommended to avoid excessive fading in direct sunlight. Pro tip: Store them away from sunlight to keep the color intact.
But keep in mind that the Indigo coloured garments tend to fade overtime but this only adds to the character of the garment. So don’t worry and enjoy your beautiful garments!",https://instore.co.in//collections/offers/products/neela-parisal,113
"NeelavatiFabric: hand block printed  Cotton 
Sleeve: 17.5inches 
Style: Straight cut kurti with Front & side slit  
Length: 43.2 Inches   
Color: Indigo Blue with red",https://instore.co.in//collections/offers/products/neelawati,114
"Asin  MustardFabric:Rayon 
Sleeve:17 Inches 
Style:Printed Straight Cut Kurti with Side SIit
Length: 46 Inches
Colour:Mustard & Green",https://instore.co.in//collections/offers/products/asin-mustard,115
"Thaara Light BlueFabric: Cotton 
Sleeve: 3/4 th Sleeve 
Style:Full Flared Printed Anarkali With Attached Coat & Adjusting rope in front yoke part    
Length: Kurti- 56 Inches 
Colour: Light Blue",https://instore.co.in//collections/offers/products/thaara-light-blue,116
